"IndividualId","Time [min]","Organism|VenousBlood|Plasma|Aciclovir|Concentration [µmol/l]","Organism|ArterialBlood_UmbilicalCord|Plasma|Aciclovir|Concentration [µmol/l]","Organism|VenousBlood_UmbilicalCord|Plasma|Aciclovir|Concentration [µmol/l]"
0,510,0.8535237,0.24357532,0.24607995
0,513,0.98695385,0.24410014,0.24715789
0,516,1.1311907,0.24474174,0.24847107
0,519,1.2831438,0.24552226,0.25003776
0,522,1.4396883,0.2464626,0.25187048
0,525,1.5978061,0.24758174,0.25397626
0,528,1.754683,0.24889602,0.2563565
0,531,1.9077744,0.2504188,0.25900778
0,534,2.0548763,0.25216013,0.26192212
0,537,2.194136,0.25412655,0.26508766
0,540,2.3240569,0.25632116,0.2684894
0,543,2.443487,0.2587437,0.27210975
0,546,2.5515945,0.26139078,0.27592927
0,549,2.6478403,0.26425603,0.27992713
0,552,2.7319453,0.26733062,0.28408176
0,555,2.8038642,0.27060345,0.28837118
0,558,2.8637471,0.27406156,0.29277351
0,561,2.9119074,0.2776905,0.2972673
0,564,2.9487927,0.28147465,0.30183172
0,567,2.9749553,0.28539765,0.30644694
0,570,2.991026,0.28944257,0.3110941
0,573,2.9976914,0.29359227,0.3157557
0,576,2.9956744,0.29782978,0.3204154
0,579,2.985716,0.30213818,0.32505825
0,582,2.9685621,0.3065012,0.32967073
0,585,2.94495,0.31090304,0.33424062
0,588,2.9155989,0.31532872,0.338757
0,591,2.881202,0.31976402,0.34321034
0,594,2.8424208,0.32419568,0.34759232
0,597,2.7998807,0.3286114,0.35189572
0,600,2.754167,0.33299986,0.35611454
0,603,2.7058244,0.3373507,0.3602437
0,606,2.6553538,0.34165463,0.36427915
0,609,2.603215,0.34590334,0.3682177
0,612,2.5498252,0.3500894,0.3720569
0,615,2.495562,0.35420635,0.3757951
0,618,2.4407642,0.35824865,0.37943116
0,621,2.3857327,0.3622115,0.3829647
0,624,2.3307335,0.36609095,0.38639566
0,627,2.276,0.36988375,0.38972452
0,630,2.221735,0.37358734,0.39295217
0,633,2.1681128,0.37719977,0.39607978
0,636,2.115282,0.38071963,0.3991088
0,639,2.0633686,0.38414606,0.40204093
0,642,2.0124757,0.38747868,0.4048781
0,645,1.9626882,0.39071745,0.40762237
0,648,1.9140733,0.39386272,0.4102759
0,651,1.8666832,0.39691526,0.41284102
0,654,1.820556,0.39987597,0.41532007
0,657,1.7757181,0.40274608,0.41771546
0,660,1.7321852,0.40552703,0.42002967
0,663,1.6899643,0.4082204,0.42226508
0,666,1.6490539,0.41082796,0.42442423
0,669,1.609446,0.41335154,0.4265095
0,672,1.5711272,0.41579315,0.42852333
0,675,1.5340788,0.41815478,0.4304681
0,678,1.4982783,0.42043856,0.43234614
0,681,1.4636999,0.42264658,0.4341597
0,684,1.4303154,0.42478102,0.43591106
0,687,1.3980943,0.42684406,0.43760237
0,690,1.3670045,0.42883778,0.43923578
0,693,1.3370129,0.43076438,0.4408133
0,696,1.3080858,0.43262598,0.44233695
0,699,1.2801888,0.43442467,0.44380865
0,702,1.2532876,0.43616247,0.44523025
0,705,1.2273476,0.43784145,0.44660354
0,708,1.2023351,0.43946356,0.44793028
0,711,1.1782163,0.44103074,0.4492121
0,714,1.1549582,0.44254485,0.45045063
0,717,1.1325287,0.4440077,0.45164743
0,720,1.110896,0.4454211,0.45280397
0,723,1.0900295,0.44678673,0.45392168
0,726,1.0698994,0.4481063,0.45500192
0,729,1.050477,0.44938135,0.45604604
0,732,1.0317342,0.45061347,0.4570553
0,735,1.0136443,0.4518042,0.4580309
0,738,0.9961812,0.45295492,0.45897406
0,741,0.97932,0.45406705,0.45988584
0,744,0.96303666,0.45514193,0.46076736
0,747,0.9473081,0.45618087,0.46161962
0,750,0.9321124,0.45718512,0.46244365
0,753,0.91742814,0.45815584,0.46324039
0,756,0.9032351,0.45909423,0.46401072
0,759,0.88951373,0.46000135,0.4647556
0,762,0.87624544,0.4608783,0.4654758
0,765,0.8634125,0.46172613,0.4661722
0,768,0.8509977,0.46254578,0.46684548
0,771,0.8389847,0.4633382,0.4674965
0,774,0.8273581,0.46410432,0.46812594
0,777,0.8161028,0.464845,0.46873447
0,780,0.8052046,0.46556112,0.4693228
0,783,0.79464984,0.46625346,0.46989152
0,786,0.78442544,0.46692276,0.47044128
0,789,0.774519,0.46756986,0.4709727
0,792,0.7649186,0.4681954,0.47148627
0,795,0.75561285,0.4688001,0.47198263
0,798,0.7465908,0.46938464,0.47246227
0,801,0.737842,0.46994963,0.47292566
0,804,0.7293566,0.47049573,0.47337338
0,807,0.7211249,0.4710235,0.47380584
0,810,0.71313787,0.47153354,0.47422352
0,813,0.70538676,0.47202635,0.47462687
0,816,0.6978632,0.47250253,0.4750163
0,819,0.69055915,0.47296253,0.47539222
0,822,0.683467,0.47340688,0.47575507
0,825,0.67657924,0.47383603,0.47610515
0,828,0.669889,0.47425044,0.47644287
0,831,0.66338944,0.4746506,0.47676864
0,834,0.65707415,0.47503686,0.47708273
0,837,0.65093684,0.4754097,0.4773855
0,840,0.6449716,0.47576943,0.47767726
0,843,0.6391727,0.47611654,0.47795835
0,846,0.63353467,0.47645134,0.47822908
0,849,0.6280523,0.4767742,0.4784897
0,852,0.6227204,0.4770854,0.4787405
0,855,0.6175343,0.4773854,0.4789818
0,858,0.61248916,0.47767442,0.4792138
0,861,0.60758066,0.47795284,0.47943678
0,864,0.60280436,0.4782209,0.479651
0,867,0.5981562,0.47847894,0.4798567
0,870,0.5936322,0.4787272,0.4800541
0,873,0.5892286,0.478966,0.48024347
0,876,0.58494157,0.47919556,0.48042497
0,879,0.58076763,0.47941616,0.48059884
0,882,0.5767034,0.47962803,0.48076525
0,885,0.5727456,0.47983146,0.48092446
0,888,0.56889105,0.4800266,0.48107663
0,891,0.56513673,0.48021373,0.48122197
0,894,0.5614797,0.48039308,0.4813606
0,897,0.55791706,0.48056483,0.4814928
0,900,0.55444556,0.48072922,0.48161867
0,903,0.5510612,0.4808864,0.48173836
0,906,0.5477588,0.48103657,0.48185208
0,909,0.54453355,0.48117998,0.48195997
0,912,0.5413817,0.48131675,0.48206216
0,915,0.53830063,0.48144704,0.48215878
0,918,0.5352888,0.48157108,0.48224998
0,921,0.5323441,0.48168895,0.48233587
0,924,0.5294645,0.48180088,0.48241657
0,927,0.52664757,0.48190695,0.4824922
0,930,0.5238915,0.48200735,0.4825629
0,933,0.5211948,0.48210222,0.48262873
0,936,0.51855624,0.48219162,0.48268986
0,939,0.5159745,0.48227578,0.48274636
0,942,0.5134483,0.48235476,0.48279837
0,945,0.5109763,0.4824287,0.48284596
0,948,0.50855726,0.4824977,0.4828892
0,951,0.50619006,0.48256192,0.48292828
0,954,0.5038732,0.4826214,0.4829632
0,957,0.50160396,0.48267633,0.4829941
0,960,0.49937722,0.48272675,0.4830211
0,963,0.49732098,0.4827728,0.4830442
0,966,0.4972632,0.48281458,0.48306406
0,969,0.5030443,0.48285255,0.48308444
0,972,0.51910615,0.48288834,0.4831159
0,975,0.5494214,0.48292583,0.4831768
0,978,0.59683496,0.48297206,0.48329243
0,981,0.66286063,0.48303774,0.48349318
0,984,0.74772125,0.4831372,0.483812
0,987,0.8505214,0.48328802,0.48428217
0,990,0.9694553,0.48351035,0.4849351
0,993,1.1020677,0.4838259,0.48579884
0,996,1.2454851,0.48425713,0.48689687
0,999,1.3966166,0.48482615,0.48824736
0,1002,1.552338,0.48555383,0.48986286
0,1005,1.7096325,0.48645917,0.49175033
0,1008,1.8656836,0.48755845,0.4939112
0,1011,2.0179465,0.48886508,0.49634197
0,1014,2.164218,0.49038908,0.49903464
0,1017,2.3026454,0.49213696,0.5019774
0,1020,2.431731,0.4941118,0.5051551
0,1023,2.550323,0.49631342,0.5085502
0,1026,2.6575918,0.49873835,0.5121433
0,1029,2.7530003,0.50138026,0.5159135
0,1032,2.836275,0.5042304,0.51983917
0,1035,2.9073725,0.5072775,0.5238984
0,1038,2.966444,0.5105088,0.5280694
0,1041,3.0138047,0.5139097,0.53233063
0,1044,3.049902,0.51746476,0.5366613
0,1047,3.0752883,0.5211575,0.5410417
0,1050,3.0905938,0.5249711,0.5454529
0,1053,3.0965054,0.52888846,0.54987746
0,1056,3.0937452,0.5328926,0.5542991
0,1059,3.0830548,0.53696656,0.5587029
0,1062,3.0651793,0.54109424,0.56307536
0,1065,3.0408552,0.5452598,0.56740427
0,1068,3.010801,0.5494482,0.57167876
0,1071,2.9757097,0.5536454,0.5758894
0,1074,2.9362426,0.5578381,0.58002776
0,1077,2.8930244,0.56201404,0.5840868
0,1080,2.84664,0.5661619,0.58806044
0,1083,2.7976336,0.5702714,0.5919437
0,1086,2.7465065,0.57433313,0.5957325
0,1089,2.6937175,0.5783389,0.5994237
0,1092,2.639685,0.5822814,0.6030149
0,1095,2.5847855,0.58615404,0.6065044
0,1098,2.529357,0.5899513,0.6098911
0,1101,2.4737005,0.59366846,0.6131747
0,1104,2.418082,0.5973016,0.6163551
0,1107,2.3627343,0.6008474,0.6194328
0,1110,2.30786,0.6043034,0.62240875
0,1113,2.2536333,0.6076676,0.6252841
0,1116,2.2002032,0.61093867,0.6280603
0,1119,2.1476943,0.6141157,0.63073903
0,1122,2.0962107,0.61719835,0.63332236
0,1125,2.0458364,0.62018657,0.6358122
0,1128,1.9966391,0.6230808,0.63821083
0,1131,1.9486701,0.6258817,0.6405206
0,1134,1.9019679,0.6285902,0.64274377
0,1137,1.8565586,0.6312076,0.6448828
0,1140,1.8124578,0.6337353,0.6469402
0,1143,1.7696722,0.636175,0.64891833
0,1146,1.7282004,0.6385283,0.6508197
0,1149,1.6880344,0.6407971,0.65264684
0,1152,1.6491603,0.64298344,0.654402
0,1155,1.6115596,0.6450893,0.6560877
0,1158,1.5752096,0.6471169,0.6577062
0,1161,1.5400845,0.64906824,0.65925986
0,1164,1.5061557,0.6509455,0.6607508
0,1167,1.4733928,0.65275085,0.6621814
0,1170,1.4417638,0.6544865,0.66355354
0,1173,1.4112352,0.6561545,0.6648694
0,1176,1.3817732,0.65775704,0.666131
0,1179,1.3533436,0.6592963,0.6673402
0,1182,1.3259118,0.6607741,0.66849893
0,1185,1.2994431,0.66219276,0.66960895
0,1188,1.2739038,0.663554,0.670672
0,1191,1.24926,0.66485995,0.67168975
0,1194,1.2254786,0.66611236,0.6726638
0,1197,1.2025273,0.6673131,0.67359567
0,1200,1.1803744,0.66846395,0.67448694
0,1203,1.1589892,0.66956663,0.675339
0,1206,1.1383418,0.67062277,0.6761532
0,1209,1.1184033,0.671634,0.67693084
0,1212,1.0991458,0.67260194,0.6776732
0,1215,1.0805421,0.67352796,0.6783816
0,1218,1.0625664,0.6744136,0.6790571
0,1221,1.0451937,0.6752603,0.6797009
0,1224,1.0283997,0.6760693,0.680314
0,1227,1.0121615,0.676842,0.68089753
0,1230,0.9964568,0.6775796,0.6814524
0,1233,0.98126435,0.6782832,0.68197954
0,1236,0.9665638,0.6789541,0.68248
0,1239,0.95233566,0.6795934,0.68295455
0,1242,0.93856114,0.68020207,0.6834041
0,1245,0.92522234,0.6807812,0.6838294
0,1248,0.9123022,0.68133175,0.68423134
0,1251,0.8997843,0.6818547,0.68461055
0,1254,0.88765305,0.682351,0.68496776
0,1257,0.8758934,0.68282145,0.68530375
0,1260,0.8644911,0.68326694,0.6856191
0,1263,0.85343236,0.6836883,0.6859146
0,1266,0.8427042,0.6840862,0.68619066
0,1269,0.832294,0.6844615,0.686448
0,1272,0.82218987,0.6848149,0.6866872
0,1275,0.81238025,0.68514705,0.68690866
0,1278,0.80285436,0.68545866,0.68711317
0,1281,0.7936016,0.6857503,0.687301
0,1284,0.784612,0.6860227,0.68747276
0,1287,0.7758759,0.68627644,0.6876289
0,1290,0.7673843,0.686512,0.68776995
0,1293,0.7591282,0.68672997,0.68789625
0,1296,0.75109935,0.6869309,0.68800825
0,1299,0.74328965,0.6871153,0.68810636
0,1302,0.7356913,0.68728364,0.688191
0,1305,0.72829705,0.68743646,0.6882625
0,1308,0.72109973,0.6875741,0.68832135
0,1311,0.7140926,0.6876971,0.6883678
0,1314,0.7072691,0.6878059,0.6884022
0,1317,0.70062304,0.6879008,0.6884249
0,1320,0.69414836,0.6879823,0.6884362
0,1323,0.6878394,0.68805075,0.68843645
0,1326,0.6816905,0.6881065,0.68842596
0,1329,0.6756966,0.6881499,0.688405
0,1332,0.66985244,0.68818134,0.6883738
0,1335,0.66415316,0.6882011,0.6883327
0,1338,0.65859413,0.6882096,0.68828195
0,1341,0.65317076,0.68820703,0.6882218
0,1344,0.6478788,0.68819374,0.6881525
0,1347,0.64271414,0.68817,0.6880743
0,1350,0.6376726,0.68813616,0.6879874
0,1353,0.63275045,0.68809247,0.687892
0,1356,0.627944,0.6880391,0.6877884
0,1359,0.6232496,0.6879764,0.6876768
0,1362,0.6186639,0.6879046,0.68755734
0,1365,0.6141836,0.68782395,0.68743026
0,1368,0.60980546,0.6877346,0.68729573
0,1371,0.60552645,0.6876369,0.687154
0,1374,0.60134363,0.687531,0.6870052
0,1377,0.59725404,0.68741703,0.6868495
0,1380,0.5932542,0.6872954,0.68668705
0,1383,0.58934027,0.6871661,0.6865181
0,1386,0.58550745,0.6870294,0.6863427
0,1389,0.58175117,0.68688554,0.6861611
0,1392,0.5780673,0.6867346,0.6859734
0,1395,0.5744529,0.68657684,0.6857797
0,1398,0.5709056,0.6864124,0.68558013
0,1401,0.5674241,0.6862414,0.68537486
0,1404,0.5640065,0.686064,0.68516403
0,1407,0.560651,0.6858804,0.68494767
0,1410,0.55735546,0.6856907,0.68472594
0,1413,0.5541181,0.685495,0.684499
0,1416,0.5509373,0.6852935,0.68426687
0,1419,0.5478117,0.68508625,0.68402976
0,1422,0.5447401,0.68487346,0.68378764
0,1425,0.54172146,0.6846552,0.6835407
0,1428,0.53875464,0.68443155,0.68328905
0,1431,0.5358384,0.68420273,0.68303275
0,1434,0.53297174,0.6839688,0.68277186
0,1437,0.53015333,0.68372977,0.68250656
0,1440,0.5273824,0.68348587,0.6822369
0,1455,0.5748919,0.68220705,0.68090343
0,1470,0.99278414,0.68130386,0.68116605
0,1485,1.7312424,0.68275625,0.6864828
0,1500,2.4519734,0.6889054,0.69838756
0,1515,2.9264846,0.70056325,0.71562934
0,1530,3.1087105,0.7167477,0.73568153
0,1545,3.0580516,0.73552907,0.7561315
0,1560,2.8629675,0.75492805,0.77528924
0,1575,2.6002898,0.77342284,0.7922398
0,1590,2.322583,0.79008174,0.8066573
0,1605,2.0598228,0.80448204,0.8185815
0,1620,1.8257536,0.81655574,0.82823855
0,1635,1.6242108,0.8264428,0.8359238
0,1650,1.4538153,0.8343812,0.84193623
0,1665,1.3109376,0.8406372,0.8465473
0,1680,1.1913519,0.8454666,0.84999
0,1695,1.0910401,0.84909755,0.8524586
0,1710,1.0065103,0.8517248,0.85411245
0,1725,0.9348635,0.853511,0.855082
0,1740,0.87375,0.8545903,0.85547346
0,1755,0.8212844,0.8550731,0.8553743
0,1770,0.77595913,0.85504997,0.8548563
0,1785,0.736566,0.8545957,0.8539792
0,1800,0.70213294,0.85377234,0.8527928
0,1815,0.6718732,0.8526314,0.85133886
0,1830,0.64514637,0.85121626,0.8496529
0,1845,0.6214278,0.8495634,0.84776485
0,1860,0.60028446,0.847704,0.8457005
0,1875,0.5812824,0.8456643,0.8434818
0,1890,0.5639994,0.8434667,0.8411265
0,1905,0.54819036,0.84112954,0.8386496
0,1920,0.5336871,0.83866835,0.8360638
0,1935,0.581046,0.83610743,0.83345836
0,1950,0.99884117,0.83393157,0.8324596
0,1965,1.7373186,0.83411956,0.8365266
0,1980,2.458167,0.8390117,0.8471918
0,1995,2.9328253,0.8494201,0.86320215
0,2010,3.11517,0.86436385,0.88203
